Slope	Intercept					
29.990761	1.36115			Mean:	STD: 	CoV:
30.316118	0.872676		Slope	30.07871218	0.266748886	0.008868361
30.488317	1.177706		Intercept	1.070892617	0.300574684	0.280676773
30.452862	0.825998					
30.11447	1.313234					
29.880441	0.946552					
30.108288	0.968122					
29.838982	1.036512					
30.482161	1.197856					
30.193678	1.216727					
30.200579	1.229618					
30.151985	1.09265					
29.938736	1.147201					
29.690929	1.557538					
29.956587	0.933684					
30.304271	1.626017					
30.139306	1.598084					
29.872614	1.267881					
30.189469	1.231601					
29.690929	1.557538					
30.036827	1.268979					
29.941653	1.295649					
30.18421	0.266029					
30.081113	0.97631					
30.524974	0.777691					
29.970629	0.697642					
29.962773	1.021205					
29.962818	1.036515					
30.208437	0.586469					
29.987779	1.141757					
29.825406	1.166248					
29.652684	1.329203					
30.180961	1.069535					
30.096178	0.335119					
30.312765	0.655164					
29.853882	1.031111					
29.574107	1.548739					
29.676333	1.724288					
29.831751	0.82288					
30.292631	0.668279					
30.341481	0.994386					
30.066422	1.166396					
31.00918	1.340334					
30.18137	1.162369					
30.242626	1.190239					
30.137193	1.362976					
29.908701	1.057481					
29.987961	1.014203					
30.369874	0.8307					
30.030396	1.10151					
30.029663	1.198183					
30.34331	0.875204					
29.933425	0.929149					
30.383984	1.170328					
30.316457	1.189602					
30.298467	1.085654					
29.464157	0.772824					
29.856017	0.331113					
29.9673	1.055386					
29.695353	0.848363					
